organisatie;org_afk;soort;onderwerp;jaar;maand;maand_nr;aantal
Ministerie van AZ;AZ;Ministerie;zv% 43-365;2018;sep;9;2,42122359912893481
Ministerie van AZ;AZ;Ministerie;zv%> 1 jaar;2018;sep;9;0,12153381144540107
Ministerie van AZ;AZ;Ministerie;zv% 1-7;2018;okt;10;1,04812221236920022
Ministerie van AZ;AZ;Ministerie;zv% 8-42;2018;okt;10;0,71970976056626079
Ministerie van AZ;AZ;Ministerie;zv% 43-365;2018;okt;10;2,00993690381738155
Ministerie van AZ;AZ;Ministerie;zv%> 1 jaar;2018;okt;10;0,12170235815560979
Ministerie van AZ;AZ;Ministerie;zv% 1-7;2018;nov;11;1,35293246807795842
Ministerie van AZ;AZ;Ministerie;zv% 8-42;2018;nov;11;0,69706899060445449
Ministerie van AZ;AZ;Ministerie;zv% 43-365;2018;nov;11;1,49911781424503943
Ministerie van AZ;AZ;Ministerie;zv%> 1 jaar;2018;nov;11;0,23493846987657735
Ministerie van AZ;AZ;Ministerie;zv% 1-7;2018;dec;12;0,78908499304050628
Ministerie van AZ;AZ;Ministerie;zv% 8-42;2018;dec;12;0,47318116366077989
Ministerie van AZ;AZ;Ministerie;zv% 43-365;2018;dec;12;1,31631092777611380
Ministerie van AZ;AZ;Ministerie;zv%> 1 jaar;2018;dec;12;0,17787162134226181
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 1-7;2018;jan;1;1,22735507555146883
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 8-42;2018;jan;1;1,78295416628825110
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 43-365;2018;jan;1;3,62585149158528530
Concern Justitie en Veiligheid;J&V;Ministerie;zv%> 1 jaar;2018;jan;1;0,32917015697503060
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 1-7;2018;feb;2;1,57345574822788459
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 8-42;2018;feb;2;2,09023885940590359
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 43-365;2018;feb;2;3,72945261937121497
Concern Justitie en Veiligheid;J&V;Ministerie;zv%> 1 jaar;2018;feb;2;0,34889841562033597
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 1-7;2018;mrt;3;1,12277817384593170
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 8-42;2018;mrt;3;1,86291755808468373
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 43-365;2018;mrt;3;3,61308556522711077
Concern Justitie en Veiligheid;J&V;Ministerie;zv%> 1 jaar;2018;mrt;3;0,39982711708782243
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 1-7;2018;apr;4;0,60016461753703521
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 8-42;2018;apr;4;1,28801506862890536
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 43-365;2018;apr;4;3,54331303224976901
Concern Justitie en Veiligheid;J&V;Ministerie;zv%> 1 jaar;2018;apr;4;0,42790308192637100
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 1-7;2018;mei;5;0,42723007040926730
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 8-42;2018;mei;5;1,00142713235922454
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 43-365;2018;mei;5;3,60795052999743771
Concern Justitie en Veiligheid;J&V;Ministerie;zv%> 1 jaar;2018;mei;5;0,46025611321427629
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 1-7;2018;jun;6;0,53733520694029790
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 8-42;2018;jun;6;1,16381957269229597
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 43-365;2018;jun;6;3,50381360093641314
Concern Justitie en Veiligheid;J&V;Ministerie;zv%> 1 jaar;2018;jun;6;0,51159056024323546
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 1-7;2018;jul;7;0,41930341394310727
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 8-42;2018;jul;7;1,06836020000038401
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 43-365;2018;jul;7;3,54831238926953718
Concern Justitie en Veiligheid;J&V;Ministerie;zv%> 1 jaar;2018;jul;7;0,53236081513032729
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 1-7;2018;aug;8;0,44950852912532302
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 8-42;2018;aug;8;0,83024872968779984
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 43-365;2018;aug;8;3,49931687340037190
Concern Justitie en Veiligheid;J&V;Ministerie;zv%> 1 jaar;2018;aug;8;0,56470625086251258
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 1-7;2018;sep;9;0,72615775810965832
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 8-42;2018;sep;9;1,24763793472728057
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 43-365;2018;sep;9;3,17992356070847215
Concern Justitie en Veiligheid;J&V;Ministerie;zv%> 1 jaar;2018;sep;9;0,61824361798560323
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 1-7;2018;okt;10;0,81066982419314604
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 8-42;2018;okt;10;1,31380133869580029
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 43-365;2018;okt;10;3,23888655769195299
Concern Justitie en Veiligheid;J&V;Ministerie;zv%> 1 jaar;2018;okt;10;0,67689907542664873
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 1-7;2018;nov;11;0,92638301207837459
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 8-42;2018;nov;11;1,35249400286865007
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 43-365;2018;nov;11;3,21791200303179226
Concern Justitie en Veiligheid;J&V;Ministerie;zv%> 1 jaar;2018;nov;11;0,73104064258745149
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 1-7;2018;dec;12;0,74556935325565998
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 8-42;2018;dec;12;1,25176114861212695
Concern Justitie en Veiligheid;J&V;Ministerie;zv% 43-365;2018;dec;12;3,30051843718625815
Concern Justitie en Veiligheid;J&V;Ministerie;zv%> 1 jaar;2018;dec;12;0,78061682210473904
Hoge Colleges van Staat;HCvS;Divers;zv% 1-7;2018;jan;1;1,39638829714624069
Hoge Colleges van Staat;HCvS;Divers;zv% 8-42;2018;jan;1;0,69201825874053835
Hoge Colleges van Staat;HCvS;Divers;zv% 43-365;2018;jan;1;2,50523010458738726
Hoge Colleges van Staat;HCvS;Divers;zv%> 1 jaar;2018;jan;1;0,00000000000000000
Hoge Colleges van Staat;HCvS;Divers;zv% 1-7;2018;feb;2;1,31431483315400421
Hoge Colleges van Staat;HCvS;Divers;zv% 8-42;2018;feb;2;1,28946515057089584
Hoge Colleges van Staat;HCvS;Divers;zv% 43-365;2018;feb;2;2,45358056567771987
Hoge Colleges van Staat;HCvS;Divers;zv%> 1 jaar;2018;feb;2;0,00000000000000000
Hoge Colleges van Staat;HCvS;Divers;zv% 1-7;2018;mrt;3;1,19269589552893418
Hoge Colleges van Staat;HCvS;Divers;zv% 8-42;2018;mrt;3;0,83245594972905790
Hoge Colleges van Staat;HCvS;Divers;zv% 43-365;2018;mrt;3;2,71340577430301888
