organisatie;org_afk;soort;onderwerp;datum;jaar_mndnr;maand_nr;jaar_wknr;week_nr;aantal
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-01-09;2018;1;2018;2;50
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-01-09;2018;1;2018;2;3
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-01-09;2018;1;2018;2;283
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-01-09;2018;1;2018;2;5
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-01-09;2018;1;2018;2;15
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-01-09;2018;1;2018;2;32
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-01-09;2018;1;2018;2;37
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-01-09;2018;1;2018;2;53
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-01-09;2018;1;2018;2;219
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-01-09;2018;1;2018;2;80
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-01-09;2018;1;2018;2;14
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-01-10;2018;1;2018;2;28
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-01-10;2018;1;2018;2;4
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-01-10;2018;1;2018;2;188
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-01-10;2018;1;2018;2;3
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-01-10;2018;1;2018;2;9
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-01-10;2018;1;2018;2;28
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-01-10;2018;1;2018;2;24
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-01-10;2018;1;2018;2;55
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-01-10;2018;1;2018;2;163
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-01-10;2018;1;2018;2;64
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-01-10;2018;1;2018;2;7
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-01-11;2018;1;2018;2;40
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-01-11;2018;1;2018;2;3
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-01-11;2018;1;2018;2;212
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-01-11;2018;1;2018;2;1
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-01-11;2018;1;2018;2;10
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-01-11;2018;1;2018;2;21
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-01-11;2018;1;2018;2;45
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-01-11;2018;1;2018;2;41
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-01-11;2018;1;2018;2;205
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-01-11;2018;1;2018;2;75
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-01-11;2018;1;2018;2;16
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-01-12;2018;1;2018;2;17
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-01-12;2018;1;2018;2;2
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-01-12;2018;1;2018;2;114
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-01-12;2018;1;2018;2;1
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-01-12;2018;1;2018;2;6
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-01-12;2018;1;2018;2;13
